Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","050","Bangladesh","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","60.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","88.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","90","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","98.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","63","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","74","E","Estimated value",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","98","E","Estimated value",""
"FS","Suite of Food Security Indicators","072","Botswana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","71","E","Estimated value",""
"FS","Suite of Food Security Indicators","076","Brazil","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","94.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","83.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","79.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","108","Burundi","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","70.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","116","Cambodia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","65.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","120","Cameroon","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","71.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","124","Canada","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","106.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","50.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","148","Chad","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","78","E","Estimated value",""
"FS","Suite of Food Security Indicators","152","Chile","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","92","E","Estimated value",""
"FS","Suite of Food Security Indicators","159","China","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","103.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","130.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","156","China, mainland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","104.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","158","China, Taiwan Province of","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","84.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","170","Colombia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","71.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","55.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","178","Congo","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","53","E","Estimated value",""
"FS","Suite of Food Security Indicators","184","Cook Islands","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","188","Costa Rica","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","80.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","384","Côte d'Ivoire","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","60","E","Estimated value",""
"FS","Suite of Food Security Indicators","191","Croatia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","91.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","192","Cuba","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","84.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","196","Cyprus","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","92","E","Estimated value",""
"FS","Suite of Food Security Indicators","203","Czechia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","86","E","Estimated value",""
"FS","Suite of Food Security Indicators","408","Democratic People's Republic of Korea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","54.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","180","Democratic Republic of the Congo","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","25.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","208","Denmark","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","115.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","262","Djibouti","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","67.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","212","Dominica","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","80.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","214","Dominican Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","66.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","218","Ecuador","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","62.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","818","Egypt","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","96.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","222","El Salvador","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","75.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","226","Equatorial Guinea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","233","Estonia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","102.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","748","Eswatini","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","59.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","71.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","242","Fiji","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","75","E","Estimated value",""
"FS","Suite of Food Security Indicators","246","Finland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","117.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","250","France","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","108.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","258","French Polynesia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","95.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","266","Gabon","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","79.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","270","Gambia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","63.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","268","Georgia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","76.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","276","Germany","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","104.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","288","Ghana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","61","E","Estimated value",""
"FS","Suite of Food Security Indicators","300","Greece","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","107","E","Estimated value",""
"FS","Suite of Food Security Indicators","304","Greenland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","308","Grenada","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","320","Guatemala","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","324","Guinea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","624","Guinea-Bissau","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","43","E","Estimated value",""
"FS","Suite of Food Security Indicators","328","Guyana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","85.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","332","Haiti","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","48.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","340","Honduras","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","61.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","348","Hungary","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","88.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","352","Iceland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","144","E","Estimated value",""
"FS","Suite of Food Security Indicators","356","India","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","64.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","68.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","364","Iran (Islamic Republic of)","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","83","E","Estimated value",""
"FS","Suite of Food Security Indicators","368","Iraq","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","64.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","372","Ireland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","114.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","376","Israel","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","126.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","104.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","388","Jamaica","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","75.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","392","Japan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","87","E","Estimated value",""
"FS","Suite of Food Security Indicators","400","Jordan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","66.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","398","Kazakhstan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","102.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","404","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","60.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","296","Kiribati","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","70.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","414","Kuwait","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","100.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","417","Kyrgyzstan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","84","E","Estimated value",""
"FS","Suite of Food Security Indicators","418","Lao People's Democratic Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","75.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","428","Latvia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","97.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","422","Lebanon","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","426","Lesotho","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","62.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","430","Liberia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","41.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","434","Libya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","440","Lithuania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","122.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","442","Luxembourg","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","108.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","450","Madagascar","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","42.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","454","Malawi","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","458","Malaysia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","76.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","462","Maldives","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","466","Mali","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","80","E","Estimated value",""
"FS","Suite of Food Security Indicators","470","Malta","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","110.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","584","Marshall Islands","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","478","Mauritania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","81.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","480","Mauritius","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","86.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","484","Mexico","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","90.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","583","Micronesia (Federated States of)","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","496","Mongolia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","97.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","499","Montenegro","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","112","E","Estimated value",""
"FS","Suite of Food Security Indicators","504","Morocco","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","99.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","508","Mozambique","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","104","Myanmar","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","96","E","Estimated value",""
"FS","Suite of Food Security Indicators","516","Namibia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","65","E","Estimated value",""
"FS","Suite of Food Security Indicators","520","Nauru","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","524","Nepal","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","74","E","Estimated value",""
"FS","Suite of Food Security Indicators","528","Netherlands","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","105","E","Estimated value",""
"FS","Suite of Food Security Indicators","540","New Caledonia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","86.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","554","New Zealand","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","95","E","Estimated value",""
"FS","Suite of Food Security Indicators","558","Nicaragua","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","64.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","562","Niger","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","83.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","566","Nigeria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","59.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","570","Niue","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","807","North Macedonia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","83.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","578","Norway","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","115","E","Estimated value",""
"FS","Suite of Food Security Indicators","512","Oman","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","84.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","586","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","585","Palau","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","275","Palestine","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","591","Panama","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","84.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","598","Papua New Guinea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","64","E","Estimated value",""
"FS","Suite of Food Security Indicators","600","Paraguay","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","69.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","604","Peru","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","88","E","Estimated value",""
"FS","Suite of Food Security Indicators","608","Philippines","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","63.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","616","Poland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","104.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","620","Portugal","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","115.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","630","Puerto Rico","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","634","Qatar","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","410","Republic of Korea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","98","E","Estimated value",""
"FS","Suite of Food Security Indicators","498","Republic of Moldova","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","70.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","642","Romania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","108.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","643","Russian Federation","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","103","E","Estimated value",""
"FS","Suite of Food Security Indicators","646","Rwanda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","59.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","659","Saint Kitts and Nevis","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","662","Saint Lucia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","670","Saint Vincent and the Grenadines","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","89.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","882","Samoa","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","88","E","Estimated value",""
"FS","Suite of Food Security Indicators","678","Sao Tome and Principe","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","53","E","Estimated value",""
"FS","Suite of Food Security Indicators","682","Saudi Arabia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","87.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","686","Senegal","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","63.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","688","Serbia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","84.3","E","Estimated value",""
