Area,Item Code,Item,Year Code,Year,Unit,Value
Barbados,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,28.7
Barbados,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,33.2
Belarus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,19186.8
Belarus,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Belarus,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Belarus,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Belgium,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,48752.5
Belgium,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,4.8
Belgium,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.9
Belgium,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,3.7
Belize,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5845.7
Belize,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,42.3
Belize,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Belize,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Benin,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3323.1
Benin,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,67.9
Benin,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Benin,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Bermuda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,76105.1
Bermuda,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Bermuda,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Bermuda,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Bhutan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10551.5
Bhutan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Bhutan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Bhutan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Bolivia (Plurinational State of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,7853.1
Bolivia (Plurinational State of),210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Bolivia (Plurinational State of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Bolivia (Plurinational State of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Bosnia and Herzegovina,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,14520.9
Bosnia and Herzegovina,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,12.6
Bosnia and Herzegovina,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,11.1
Bosnia and Herzegovina,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,13.7
Botswana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,14667.8
Botswana,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,55.6
Botswana,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,64
Botswana,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,74.4
Brazil,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,14064
Brazil,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,28.9
Brazil,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,20.7
Brazil,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,30.2
Brunei Darussalam,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,62200.9
Brunei Darussalam,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Brunei Darussalam,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Brunei Darussalam,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Bulgaria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,22379.1
Bulgaria,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,15.5
Bulgaria,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,13.5
Bulgaria,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,16.4
Burkina Faso,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2155.8
Burkina Faso,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,52.6
Burkina Faso,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,59.1
Burkina Faso,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,54.9
Burundi,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,731.1
Burundi,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Burundi,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Burundi,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Cabo Verde,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,6045.1
Cabo Verde,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,35.4
Cabo Verde,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Cabo Verde,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Cambodia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4193.8
Cambodia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,50
Cambodia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,45
Cambodia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,51
Cameroon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3666.4
Cameroon,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,55.8
Cameroon,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Cameroon,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Canada,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,46064.3
Canada,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6.5
Canada,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,10.6
Canada,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,12.8
Central African Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,937.9
Central African Republic,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,81.3
Central African Republic,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Central African Republic,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Chad,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1509
Chad,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Chad,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Chad,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Chile,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,23239.4
Chile,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,17.4
Chile,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,17.5
Chile,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,20.6
China,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,16517
China,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
China,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
China,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
"China, Hong Kong SAR",22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,55917.6
"China, Hong Kong SAR",210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
"China, Hong Kong SAR",210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
"China, Hong Kong SAR",210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
"China, Macao SAR",22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,57729
"China, Macao SAR",210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
"China, Macao SAR",210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
"China, Macao SAR",210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
"China, mainland",210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
"China, mainland",210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
"China, mainland",210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
"China, Taiwan Province of",210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
"China, Taiwan Province of",210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
"China, Taiwan Province of",210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Colombia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,13400.3
Colombia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Colombia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Colombia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Comoros,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2984.4
Comoros,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,79.7
Comoros,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Comoros,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Congo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3497.6
Congo,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,88.7
Congo,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,88.6
Congo,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,87.5
Cook Islands,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Cook Islands,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Cook Islands,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Costa Rica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,19937.2
Costa Rica,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,15.9
Costa Rica,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,21.8
Costa Rica,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,30
Côte d'Ivoire,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5181.3
Côte d'Ivoire,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,42.8
Côte d'Ivoire,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Côte d'Ivoire,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Croatia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,27077
Croatia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,11.4
Croatia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,8.6
Croatia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,13.4
Cuba,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Cuba,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Cuba,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,39007.7
Cyprus,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Cyprus,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Cyprus,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Czechia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,38511.3
Czechia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.8
Czechia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,5
Czechia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,5.7
Democratic People's Republic of Korea,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Democratic People's Republic of Korea,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Democratic People's Republic of Korea,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Democratic Republic of the Congo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1082.4
Democratic Republic of the Congo,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,72.3
Democratic Republic of the Congo,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Democratic Republic of the Congo,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Denmark,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,55819.9
Denmark,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.5
Denmark,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.9
Denmark,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,6.2
Djibouti,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5245.4
Djibouti,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,49.2
Djibouti,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,49.3
Djibouti,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,49.2
Dominica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10256.3
Dominica,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Dominica,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Dominica,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Dominican Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,17003
Dominican Republic,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Dominican Republic,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Dominican Republic,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Ecuador,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10325
Ecuador,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,36.8
Ecuador,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,52
Ecuador,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,59.2
Egypt,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,11951.4
Egypt,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,27.3
Egypt,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,23.7
Egypt,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,26.8
El Salvador,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,7982.6
El Salvador,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,46.5
El Salvador,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,39
El Salvador,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,49.4
Equatorial Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,17214.7
Equatorial Guinea,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Equatorial Guinea,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Equatorial Guinea,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Eritrea,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Eritrea,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Eritrea,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Estonia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,35257.2
Estonia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,7.9
Estonia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,7.3
Estonia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,8.2
Eswatini,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,8404.7
Eswatini,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,67
Eswatini,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,66.1
